id,creator_id,business_id,introduced_at,outcome,outcome_reason,creator_rating,business_rating,gig_count,total_paid,synthetic_quality_score
match_0073,creator_0227,biz_0021,2026-03-06,failed,budget_negotiation_failed,,,1,200,0.25
match_0074,creator_0223,biz_0238,2025-11-13,failed,single_gig_no_repeat,,,1,1200,0.15
match_0075,creator_0134,biz_0168,2025-05-19,no_response,business_did_not_respond_to_pitch,,,0,0,0.15
match_0076,creator_0246,biz_0262,2026-03-16,successful,completed_first_gig_business_re_engaged,4.0,4.0,1,300,0.5
match_0077,creator_0063,biz_0294,2025-08-21,failed,completed_first_gig_quality_below_expectations,,,1,500,0.3
match_0078,creator_0223,biz_0251,2026-03-27,no_response,no_engagement_after_intro,,,0,0,0.15
match_0079,creator_0179,biz_0033,2025-11-21,successful,repeat_business,5.0,5.0,2,2800,0.75
match_0080,creator_0198,biz_0161,2026-01-15,no_response,no_engagement_after_intro,,,0,0,0.25
match_0081,creator_0248,biz_0098,2026-01-02,no_response,creator_did_not_apply,,,0,0,0.55
match_0082,creator_0218,biz_0172,2025-09-18,no_response,business_did_not_respond_to_pitch,,,0,0,0.35
match_0083,creator_0301,biz_0136,2025-06-02,failed,creator_unresponsive_after_intro,,,1,300,0.55
match_0084,creator_0180,biz_0072,2025-07-01,failed,budget_negotiation_failed,,,1,500,0.15
match_0085,creator_0245,biz_0278,2025-07-27,successful,single_gig_acceptable_quality,4.0,3.0,1,1000,0.55
match_0086,creator_0280,biz_0150,2026-02-12,failed,single_gig_no_repeat,,,1,1200,0.2
match_0087,creator_0133,biz_0173,2025-09-15,no_response,business_did_not_respond_to_pitch,,,0,0,0.3
match_0088,creator_0104,biz_0192,2026-03-05,successful,repeat_business,5.0,5.0,3,1200,0.75
match_0089,creator_0181,biz_0075,2025-08-27,failed,budget_negotiation_failed,,,1,800,0.45
match_0090,creator_0229,biz_0064,2026-01-16,no_response,business_did_not_respond_to_pitch,,,0,0,0.7
match_0091,creator_0042,biz_0002,2025-06-24,successful,repeat_business,5.0,5.0,3,4200,0.85
match_0092,creator_0283,biz_0262,2026-04-05,failed,budget_negotiation_failed,,,1,200,0.1
match_0093,creator_0227,biz_0027,2026-01-06,no_response,business_did_not_respond_to_pitch,,,0,0,0.1
match_0094,creator_0236,biz_0056,2025-10-23,failed,budget_negotiation_failed,,,1,300,0.3
match_0095,creator_0101,biz_0062,2026-03-31,failed,budget_negotiation_failed,,,1,200,0.35
match_0096,creator_0035,biz_0028,2025-05-26,no_response,business_did_not_respond_to_pitch,,,0,0,0.6
match_0097,creator_0274,biz_0056,2025-10-01,no_response,creator_did_not_apply,,,0,0,0.35
match_0098,creator_0363,biz_0050,2026-02-13,no_response,creator_did_not_apply,,,0,0,0.3
match_0099,creator_0341,biz_0021,2025-08-30,successful,completed_first_gig_no_repeat,4.0,4.0,1,1300,0.3
match_0100,creator_0124,biz_0142,2026-01-21,failed,creator_unresponsive_after_intro,,,1,800,0.6
match_0101,creator_0389,biz_0113,2026-03-24,failed,budget_negotiation_failed,,,1,300,0.5
match_0102,creator_0185,biz_0283,2025-09-18,no_response,creator_did_not_apply,,,0,0,0.05
match_0103,creator_0364,biz_0012,2026-01-22,no_response,creator_did_not_apply,,,0,0,0.35
match_0104,creator_0234,biz_0088,2025-05-17,failed,single_gig_no_repeat,,,1,800,0.15
match_0105,creator_0102,biz_0009,2025-08-07,successful,completed_first_gig_business_re_engaged,4.0,5.0,1,800,0.4
match_0106,creator_0249,biz_0064,2026-04-06,successful,single_gig_acceptable_quality,4.0,4.0,1,800,0.3
match_0107,creator_0085,biz_0089,2025-10-19,no_response,business_did_not_respond_to_pitch,,,0,0,0.1
match_0108,creator_0055,biz_0002,2025-09-04,failed,budget_negotiation_failed,,,1,100,0.15
match_0109,creator_0223,biz_0297,2026-03-20,no_response,business_did_not_respond_to_pitch,,,0,0,0.15
match_0110,creator_0229,biz_0110,2025-09-30,successful,completed_multiple_gigs_excellent_reviews,5.0,5.0,2,3400,0.65
match_0111,creator_0379,biz_0197,2025-12-22,no_response,business_did_not_respond_to_pitch,,,0,0,0.15
match_0112,creator_0012,biz_0278,2025-12-15,no_response,creator_did_not_apply,,,0,0,0.2
match_0113,creator_0345,biz_0252,2025-06-05,failed,single_gig_no_repeat,,,1,300,0.25
match_0114,creator_0176,biz_0165,2025-12-01,successful,completed_first_gig_business_re_engaged,4.0,5.0,1,1000,0.1
match_0115,creator_0311,biz_0106,2026-01-31,failed,completed_first_gig_quality_below_expectations,,,1,500,0.25
match_0116,creator_0308,biz_0194,2026-01-02,failed,scope_misalignment,,,1,1200,0.05
match_0117,creator_0107,biz_0112,2025-06-04,failed,scope_misalignment,,,1,1200,0.15
match_0118,creator_0141,biz_0128,2025-06-28,no_response,creator_did_not_apply,,,0,0,0.3
match_0119,creator_0195,biz_0241,2026-01-02,no_response,no_engagement_after_intro,,,0,0,0.1
match_0120,creator_0289,biz_0125,2025-12-06,no_response,creator_did_not_apply,,,0,0,0.2
match_0121,creator_0232,biz_0012,2026-01-11,failed,budget_negotiation_failed,,,1,1200,0.0
match_0122,creator_0185,biz_0196,2025-08-22,successful,single_gig_acceptable_quality,4.0,5.0,1,1100,0.15
match_0123,creator_0046,biz_0224,2025-06-12,failed,creator_unresponsive_after_intro,,,1,200,0.15
match_0124,creator_0138,biz_0188,2025-05-09,no_response,business_did_not_respond_to_pitch,,,0,0,0.15
match_0125,creator_0246,biz_0081,2025-08-19,failed,single_gig_no_repeat,,,1,100,0.35
match_0126,creator_0331,biz_0265,2025-09-05,failed,creator_unresponsive_after_intro,,,1,300,0.55
match_0127,creator_0019,biz_0196,2025-08-06,failed,creator_unresponsive_after_intro,,,1,800,0.4
match_0128,creator_0047,biz_0082,2025-06-21,successful,completed_first_gig_business_re_engaged,4.0,4.0,1,1100,0.3
match_0129,creator_0269,biz_0131,2025-07-09,failed,budget_negotiation_failed,,,1,1200,0.45
match_0130,creator_0073,biz_0224,2025-10-05,failed,creator_unresponsive_after_intro,,,1,300,0.2
match_0131,creator_0118,biz_0210,2025-11-10,failed,single_gig_no_repeat,,,1,800,0.05
match_0132,creator_0035,biz_0119,2025-09-22,no_response,no_engagement_after_intro,,,0,0,0.05
match_0133,creator_0027,biz_0294,2025-05-16,failed,creator_unresponsive_after_intro,,,1,200,0.65
match_0134,creator_0148,biz_0281,2025-09-03,failed,scope_misalignment,,,1,800,0.25
match_0135,creator_0086,biz_0121,2025-06-08,successful,completed_first_gig_no_repeat,4.0,3.0,1,1100,0.2
match_0136,creator_0396,biz_0052,2025-11-24,successful,completed_first_gig_no_repeat,4.0,4.0,1,900,0.55
match_0137,creator_0284,biz_0189,2025-08-25,no_response,creator_did_not_apply,,,0,0,0.1
match_0138,creator_0274,biz_0096,2025-09-14,failed,completed_first_gig_quality_below_expectations,,,1,500,0.1
match_0139,creator_0167,biz_0088,2025-08-14,no_response,no_engagement_after_intro,,,0,0,0.35
match_0140,creator_0011,biz_0257,2025-09-15,no_response,creator_did_not_apply,,,0,0,0.2
match_0141,creator_0202,biz_0070,2025-06-05,successful,completed_first_gig_business_re_engaged,5.0,4.0,3,1500,0.75
match_0142,creator_0294,biz_0143,2026-03-06,failed,scope_misalignment,,,1,300,0.3
match_0143,creator_0090,biz_0057,2026-03-08,no_response,creator_did_not_apply,,,0,0,0.15
match_0144,creator_0328,biz_0022,2026-04-01,successful,single_gig_acceptable_quality,3.0,4.0,1,200,0.55
match_0145,creator_0271,biz_0251,2025-11-16,no_response,business_did_not_respond_to_pitch,,,0,0,0.35
match_0146,creator_0282,biz_0278,2025-07-03,no_response,no_engagement_after_intro,,,0,0,0.0
match_0147,creator_0239,biz_0267,2025-09-12,failed,single_gig_no_repeat,,,1,100,0.4
match_0148,creator_0296,biz_0208,2025-06-23,no_response,no_engagement_after_intro,,,0,0,0.15
match_0149,creator_0209,biz_0086,2025-08-17,no_response,business_did_not_respond_to_pitch,,,0,0,0.2
match_0150,creator_0065,biz_0019,2025-10-20,failed,single_gig_no_repeat,,,1,300,0.35
