id,name,primary_category,primary_subcategories,secondary_categories,content_needs,location,remote_acceptable,business_size,past_creators_hired,avg_creator_rating,budget_range_per_gig,niche_tags,current_gigs_open,active_in_last_30_days,preferred_creator_size,profile_description
biz_0032,Jones Inc,auto,"['service', 'ev']",[],"['reels', 'blog_posts']","Seattle, WA",False,small,2,4.5,"[500, 1000]","['motorcycle', 'test_drive', 'performance']",1,True,small,"Full-service auto shop | EV & motorcycle specialists | Seattle
Performance tuning, diagnostics, test drives. Expert techs, honest service."
biz_0033,"Wise, Conley and Stephenson",fashion,['sustainable'],[],"['reels', 'photography']","Chicago, IL",True,medium,0,,"[1000, 1500]","['color_palette', 'minimalist', 'seasonal', 'designer', 'lookbook']",0,True,any,"Sustainable fashion | Minimalist design | Seasonal collections
Curated pieces for the modern Chicago wardrobe. Thoughtful color palettes, timeless style."
biz_0034,Stanley PLC,food_beverage,['bakeries'],[],"['podcast', 'blog_posts']","Philadelphia, PA",False,medium,8,4.5,"[1000, 1500]","['dessert', 'farm_to_table', 'asian', 'natural_lighting']",3,True,mid,"Artisan bakery in Philadelphia | Farm-to-table desserts with Asian influences | Fresh daily, naturally leavened breads and pastries"
biz_0035,Harper and Sons,auto,['motorcycle'],[],"['reels', 'social_posts', 'long_form_video']","Portland, OR",False,small,0,,"[300, 800]","['performance', 'test_drive', 'sedan']",1,True,any,"Motorcycle shop & performance garage | Test rides available | Portland, OR
Custom builds, service & parts. Real riders, real bikes."
biz_0036,White Ltd,beauty_wellness,['supplements'],[],"['social_posts', 'long_form_video']","Philadelphia, PA",False,medium,30,3.5,"[800, 1300]","['makeup_tutorial', 'wellness', 'anti_aging', 'luxury', 'clean_beauty']",0,False,large,"Premium supplements & clean beauty | Anti-aging wellness | Philadelphia
Luxury formulations for radiant skin and vitality. Shop our curated collection of high-performance supplements."
biz_0037,"Lamb, Martin and Kim",retail,['apparel'],[],['long_form_video'],"New York, NY",True,small,0,,"[500, 800]","['minimalist', 'streetwear', 'boutique_finds']",2,True,large,"Minimalist streetwear boutique in NYC. Curated apparel, elevated basics, vintage finds. Small batch drops."
biz_0038,Diaz-Ball,beauty_wellness,['makeup'],[],['photography'],"Austin, TX",False,small,8,4.5,"[300, 800]","['drugstore', 'clean_beauty', 'luxury', 'natural']",0,True,small,"Makeup & beauty. Clean, natural looks for every skin tone. Drugstore + luxury picks. Austin, TX 💄"
biz_0039,Bishop-Goodwin,fitness_sports,['crossfit'],[],"['blog_posts', 'photography']","Nashville, TN",False,small,0,,"[200, 500]","['outdoor', 'cardio', 'cycling', 'recovery']",0,True,any,"CrossFit Box | Nashville, TN
Strength, cardio & community. Olympic lifting, WODs, cycling classes & recovery sessions. Join us."
biz_0040,Young-Allen,fitness_sports,"['yoga', 'crossfit']",[],['long_form_video'],"Chicago, IL",True,medium,0,,"[1000, 1500]","['gear_review', 'cycling', 'cardio']",1,False,small,"Yoga & CrossFit | Chicago
Functional fitness for real bodies. Classes, coaching, gear reviews 💪
Long-form content on YouTube"
biz_0041,Mckee-Lee,fitness_sports,"['outdoor', 'personal_training']",[],['long_form_video'],"Denver, CO",False,small,8,4.3,"[500, 1000]","['recovery', 'yoga', 'strength']",0,False,small,"Personal training & yoga | Strength, recovery, mobility | Denver-based outdoor training & wellness"
biz_0042,"Valentine, Joyce and Murray",travel_hospitality,['luxury_resort'],[],['live_coverage'],"Nashville, TN",False,large,15,4.5,"[1500, 6500]","['couples', 'adventure', 'all_inclusive', 'luxury_travel', 'domestic']",0,True,any,"Luxury all-inclusive resort in Nashville, TN | Adventure & romance for couples | Live coverage of your stay 🏞️"
biz_0043,Strickland-Shaw,travel_hospitality,"['tour_operator', 'bnb']",[],"['long_form_video', 'podcast', 'reels']","Austin, TX",False,medium,5,4.3,"[1000, 2000]","['adventure', 'luxury_travel', 'all_inclusive']",1,True,small,"Luxury adventure travel & boutique stays | All-inclusive tours & curated experiences | Austin-based, worldwide destinations 🌍"
biz_0044,Burch-Montoya,food_beverage,['bars'],[],['photography'],"Nashville, TN",True,medium,2,4.0,"[500, 2000]","['dessert', 'mexican', 'farm_to_table']",3,True,large,"Craft cocktails & desserts | Mexican-inspired flavors, farm-to-table | Nashville, TN"
biz_0045,"Taylor, Wright and Davidson",fitness_sports,"['gym', 'sports_retail']",[],['social_posts'],"Houston, TX",False,medium,5,4.0,"[800, 1300]","['yoga', 'cycling', 'outdoor', 'gear_review']",2,True,any,"Yoga, cycling & outdoor gear. Full-service gym + retail shop in Houston. Expert reviews, classes, community rides 🚴‍♀️"
biz_0046,Spencer-Garcia,auto,"['detailing', 'used']",[],['photography'],"Denver, CO",False,small,15,4.0,"[500, 1200]","['test_drive', 'motorcycle', 'off_road', 'truck', 'suv']",3,True,small,"Used cars, trucks & SUVs | Expert detailing | Denver
Test drives available. Off-road ready vehicles & motorcycles. Quality rides, honest deals."
biz_0047,"Rosales, Mitchell and Hines",home_real_estate,['interior_design'],[],['podcast'],"Dallas, TX",True,small,5,3.5,"[500, 800]","['first_time_buyer', 'diy', 'investment']",0,True,large,"Interior design & real estate consulting for first-time buyers and investors. DIY tips, market insights, and design stories on our podcast. Based in Dallas, TX."
biz_0048,Cole-Palmer,beauty_wellness,['skincare'],[],"['blog_posts', 'reels', 'podcast']","Seattle, WA",False,small,0,,"[200, 900]","['luxury', 'wellness', 'drugstore']",0,True,any,"Skincare & wellness | Luxury + accessible products | Seattle, WA
Curated beauty essentials for your glow-up 🌿"
biz_0049,Davis-Lozano,food_beverage,['bakeries'],[],['live_coverage'],"Chicago, IL",True,large,8,3.5,"[1500, 6500]","['farm_to_table', 'mexican', 'brunch']",5,True,mid,Artisan bakery | Farm-to-table Mexican pastries & brunch. Fresh-baked daily in Chicago. Follow for behind-the-scenes bakes and seasonal specials 🥐
biz_0050,Wilkerson-Arias,retail,"['home_goods', 'specialty']",[],"['podcast', 'reels', 'social_posts']","Philadelphia, PA",False,medium,5,3.5,"[500, 2000]","['home_decor', 'streetwear', 'boutique_finds']",1,True,any,"Curated home goods & streetwear | Philadelphia boutique | Unique pieces, timeless style. Podcast & reels coming soon 🏠✨"
biz_0051,Brown-Shaw,food_beverage,['specialty_foods'],[],"['blog_posts', 'social_posts', 'reels']","Dallas, TX",False,small,0,,"[200, 500]","['mexican', 'fine_dining', 'farm_to_table', 'vegan']",2,True,mid,"Mexican fine dining | Farm-to-table, vegan-friendly | Dallas, TX
Seasonal menus crafted from local ingredients. Authentic flavors, elevated cuisine."
biz_0052,Hughes Inc,auto,['parts'],[],"['long_form_video', 'social_posts', 'blog_posts']","Dallas, TX",False,small,5,4.7,"[500, 1200]","['performance', 'truck', 'sedan']",0,True,mid,"Auto parts for trucks & sedans | Performance upgrades & OEM replacements | Dallas, TX | Expert advice, quality parts, fast shipping"
biz_0053,Walker-Flores,fitness_sports,"['outdoor', 'gym']",[],['blog_posts'],"Portland, OR",False,small,0,,"[300, 600]","['yoga', 'gear_review', 'running']",1,True,mid,"Yoga & running fitness | Outdoor workouts & gear guides | Portland, OR
Expert reviews, training tips, and community vibes for runners and yogis."
biz_0054,Combs Ltd,retail,['specialty'],[],"['blog_posts', 'podcast', 'photography']","Nashville, TN",True,small,15,4.5,"[500, 800]","['deals', 'luxury', 'minimalist', 'home_decor']",2,True,mid,"Luxury home essentials & curated decor | Minimalist designs that make a statement | Nashville, TN"
biz_0055,Moody-Taylor,beauty_wellness,"['hair_salon', 'fragrance']",[],['photography'],"Los Angeles, CA",True,small,30,4.0,"[200, 700]","['luxury', 'spa_day', 'wellness', 'natural', 'clean_beauty']",1,True,any,"Hair & fragrance studio | Luxury wellness in LA | Custom color, cuts & natural scents for your ritual"
biz_0056,Lowery-Kennedy,retail,"['specialty', 'electronics']",[],['social_posts'],"Boston, MA",False,small,1,4.5,"[500, 1200]","['minimalist', 'home_decor', 'kids', 'outdoor', 'vintage']",1,True,any,"Curated home & outdoor essentials | Vintage finds & modern minimalist decor | Kids' gear, electronics & more | Boston"
biz_0057,Blake Group,auto,"['motorcycle', 'parts']",[],['reels'],"San Diego, CA",False,small,15,4.0,"[200, 900]","['luxury', 'performance', 'sedan']",0,True,large,"Luxury motorcycle parts & performance upgrades | San Diego | Custom builds, quality components, expert service"
biz_0058,Gilbert-Bullock,fashion,"['sustainable', 'accessories']",[],['reels'],"San Diego, CA",True,medium,1,4.7,"[500, 2000]","['color_palette', 'streetwear', 'ethical', 'seasonal']",5,True,any,"Sustainable fashion & accessories | Ethical streetwear with color 🎨 | San Diego, CA | Seasonal drops"
biz_0059,Scott and Sons,home_real_estate,"['garden', 'property_management']",[],['podcast'],"New York, NY",True,small,2,4.5,"[200, 900]","['renovation', 'garden', 'diy', 'first_time_buyer']",0,True,any,"Scott and Sons | Property Management & Garden Design
Helping first-time buyers & homeowners in NYC. Renovations, landscaping, DIY tips.
Listen to our podcast for real estate insights 🏡"
biz_0060,"Bentley, Lynch and Henderson",auto,"['service', 'used']",[],"['blog_posts', 'long_form_video', 'photography']","Austin, TX",False,small,8,3.5,"[200, 700]","['truck', 'test_drive', 'performance', 'luxury', 'suv']",2,True,mid,"Used trucks & luxury SUVs | Performance-focused service | Austin, TX
Test drives available. Expert mechanics, quality pre-owned vehicles."
biz_0061,Young-Martinez,food_beverage,"['bakeries', 'bars']",[],"['reels', 'podcast']","New York, NY",False,small,0,,"[500, 1000]","['dessert', 'italian', 'vegan']",1,True,mid,"Vegan Italian bakery & wine bar | Handmade pastries, desserts & natural wines | NYC"
biz_0062,Barnes PLC,fashion,"['vintage', 'streetwear']",[],"['reels', 'photography', 'blog_posts']","Seattle, WA",True,medium,1,3.5,"[1000, 1500]","['ootd', 'lookbook', 'minimalist', 'seasonal']",5,False,mid,"Vintage & streetwear | Seattle-based | Curated pieces, timeless style
OOTD inspo & seasonal drops | Shop the feed 👟"
biz_0063,Brown-Copeland,retail,"['apparel', 'boutique']",[],['podcast'],"San Francisco, CA",True,small,8,4.5,"[500, 1200]","['home_decor', 'outdoor', 'tech_gadgets', 'minimalist', 'deals']",1,True,any,"Brown-Copeland | Boutique apparel & home essentials
Curated minimalist pieces + outdoor gear + tech finds
San Francisco 🌉 | Listen to our podcast for styling tips & deals"
biz_0064,Carlson-Smith,food_beverage,"['bakeries', 'casual_dining']",[],['long_form_video'],"Phoenix, AZ",True,medium,0,,"[800, 2300]","['brunch', 'asian', 'mexican', 'magazine_quality', 'dessert']",1,True,mid,"Brunch, baked goods & bold flavors | Asian-Mexican fusion cafe in Phoenix | Coffee, pastries, desserts worth the wait"
biz_0065,"Andrews, Higgins and Carter",auto,"['parts', 'used']",[],"['photography', 'blog_posts']","Phoenix, AZ",True,large,1,3.5,"[2000, 7000]","['electric_vehicle', 'test_drive', 'performance', 'sedan']",5,True,mid,"Quality used auto parts & EVs | Phoenix, AZ
New and rebuilt components for all makes. Performance upgrades, sedans, electric vehicles. Expert test drives and installation support."
biz_0066,Mendez and Sons,retail,"['home_goods', 'big_box']",[],"['blog_posts', 'photography', 'reels']","Boston, MA",True,medium,2,4.7,"[1000, 1500]","['deals', 'outdoor', 'vintage', 'kids', 'home_decor']",0,True,small,"Home goods & vintage finds | Outdoor gear, decor & kids' items | Boston
Always hunting the best deals. Shop in-store or online."
biz_0067,"Butler, Beck and Miller",travel_hospitality,['luxury_resort'],[],"['social_posts', 'podcast']","San Diego, CA",False,large,0,,"[2000, 4000]","['domestic', 'budget_travel', 'solo', 'family']",1,True,small,"Luxury resort in San Diego | Beach escapes for families & solo travelers | World-class amenities, local vibes 🌊"
biz_0068,Jones-Fox,fitness_sports,['crossfit'],[],"['blog_posts', 'reels', 'photography']","Chicago, IL",False,small,30,4.0,"[500, 800]","['gear_review', 'nutrition', 'pilates', 'running']",0,False,any,"CrossFit box & fitness community | Chicago
Strength training, conditioning, nutrition tips
Small group classes, gear reviews & running updates 💪"
biz_0069,"Hartman, Romero and Smith",food_beverage,"['specialty_foods', 'bakeries']",[],"['blog_posts', 'photography', 'social_posts']","Houston, TX",False,medium,0,,"[500, 1000]","['italian', 'vegan', 'wine_pairing']",1,False,mid,"Artisanal Italian bakery & specialty foods | Vegan-friendly pastries, breads & wine pairings | Houston, TX"
biz_0070,Williams-Hughes,travel_hospitality,['bnb'],[],"['live_coverage', 'photography']","Nashville, TN",False,small,30,4.5,"[300, 800]","['luxury_travel', 'budget_travel', 'international']",0,False,mid,Cozy Nashville getaway | Luxury & budget-friendly stays | Book your next adventure with us 🏡
biz_0071,King-Smith,travel_hospitality,['attraction'],[],"['social_posts', 'live_coverage', 'photography']","Los Angeles, CA",False,small,30,4.3,"[300, 600]","['family', 'budget_travel', 'adventure', 'domestic', 'solo']",3,True,mid,"Explore LA like a local | Budget-friendly adventures & hidden gems | Family, solo, group trips welcome"
biz_0072,Cooper Ltd,food_beverage,"['cafes', 'food_trucks']",[],['social_posts'],"Seattle, WA",False,large,1,4.7,"[2000, 7000]","['dessert', 'brunch', 'asian', 'italian']",0,False,any,"Cooper Ltd | Seattle Cafe & Food Truck
Asian-Italian fusion brunch and desserts. Coffee, pastries, handmade specialties.
Find us around Seattle ☕"
biz_0073,"Fuller, Ingram and Moss",food_beverage,"['food_trucks', 'fine_dining']",[],"['blog_posts', 'live_coverage', 'social_posts']","San Diego, CA",False,small,8,3.5,"[500, 1000]","['farm_to_table', 'casual', 'asian', 'magazine_quality']",1,True,large,"Farm-to-table Asian cuisine | Food truck & fine dining | San Diego
Casual elegance, seasonal menus, locally sourced ingredients
Follow for behind-the-scenes stories and what's cooking today 🍜"
biz_0074,Anderson-Bell,travel_hospitality,"['bnb', 'tour_operator']",[],['social_posts'],"Nashville, TN",True,small,30,4.7,"[300, 600]","['couples', 'budget_travel', 'boutique', 'international', 'luxury_travel']",1,True,any,"Boutique stays & curated tours in Nashville | Perfect for couples & adventurers | Budget-friendly to luxury ✨ Local expertise, global wanderlust"
biz_0075,Li-Thompson,fashion,"['streetwear', 'footwear']",[],"['reels', 'photography']","Atlanta, GA",False,large,15,3.5,"[2000, 5000]","['seasonal', 'ootd', 'luxury', 'color_palette']",2,True,any,"Streetwear & sneakers | Atlanta-based | Seasonal drops, luxury color stories. OOTD inspo daily."
biz_0076,"Marshall, Dominguez and Welch",fashion,"['footwear', 'sustainable']",[],['long_form_video'],"San Diego, CA",False,medium,8,4.3,"[1000, 2500]","['vintage', 'streetwear', 'ootd', 'seasonal', 'color_palette']",1,True,any,"Vintage & sustainable footwear | San Diego | Streetwear styling & seasonal drops
Curated sneakers, boots & kicks with a conscience. New OOTD content weekly 👟"
biz_0077,Brown Group,beauty_wellness,"['nail_salon', 'hair_salon']",[],"['photography', 'podcast']","Los Angeles, CA",False,small,1,4.7,"[200, 500]","['luxury', 'makeup_tutorial', 'self_care', 'natural', 'skincare']",5,True,any,"Nails & Hair | Luxury salon in LA ✨
Natural beauty, expert care. Makeup tutorials & self-care tips on our podcast."
biz_0078,Carter Inc,fashion,['athleisure'],[],"['reels', 'social_posts']","Seattle, WA",True,medium,0,,"[500, 1000]","['luxury', 'designer', 'streetwear']",3,True,mid,Luxury athleisure | Designer streetwear | Seattle-based. Elevated everyday wear for the modern lifestyle.
biz_0079,Blackwell LLC,fitness_sports,['yoga'],[],"['live_coverage', 'blog_posts', 'photography']","Los Angeles, CA",True,medium,1,3.5,"[800, 1300]","['pilates', 'outdoor', 'gear_review', 'recovery', 'cardio']",2,True,small,"Yoga & pilates studio in LA | Outdoor classes, cardio flow, recovery sessions | Photography & gear reviews on our blog"
biz_0080,Robertson-Hays,fashion,['high_end'],[],"['reels', 'blog_posts']","Chicago, IL",False,medium,30,3.5,"[800, 1300]","['color_palette', 'lookbook', 'vintage']",1,False,large,High-end fashion & vintage curated pieces | Chicago | Color-driven styling & lookbooks | New content weekly
biz_0081,"Kennedy, Johnson and Lucas",home_real_estate,['home_improvement'],[],"['photography', 'blog_posts']","San Diego, CA",True,large,0,,"[3000, 8000]","['modern', 'diy', 'minimalist', 'first_time_buyer']",1,False,small,"Home improvement & real estate | San Diego
Modern designs, DIY guides & first-time buyer tips
Making home renovation simple and stylish 🏡"
biz_0082,Kelly-Norman,food_beverage,['cafes'],[],['photography'],"Houston, TX",False,small,1,4.3,"[200, 900]","['fine_dining', 'asian', 'vegan']",0,True,large,"Modern Asian café | Fine dining vegan cuisine | Houston, TX
Fresh, locally-sourced ingredients in every dish
Reservations recommended 🌿"
biz_0083,"Rivera, Martinez and Richardson",fashion,"['accessories', 'sustainable']",[],['long_form_video'],"Dallas, TX",True,medium,15,3.5,"[1000, 2000]","['seasonal', 'ootd', 'vintage', 'minimalist']",0,False,mid,"Sustainable accessories & vintage finds. Curated seasonal pieces for the minimalist closet. Dallas-based, ethical style. ✨"
biz_0084,Paul-Kline,home_real_estate,"['garden', 'real_estate_agency']",[],['podcast'],"New York, NY",False,small,30,4.0,"[500, 800]","['minimalist', 'traditional', 'garden', 'renovation']",1,True,mid,Real estate & garden design | NYC | Minimalist to traditional homes | Renovations & outdoor spaces | Listen to our podcast
